university,major,error
Eastern Arizona College,Information Science/Studies,
Eastern Arizona College,"Building/Construction Finishing, Management, and Inspection, Other",
Eastern Arizona College,Carpentry/Carpenter,
Eastern Arizona College,Mason/Masonry,
Eastern Arizona College,"Cooking and Related Culinary Arts, General",
Eastern Arizona College,"Cosmetology, Barber/Styling, and Nail Instructor",
Eastern Arizona College,"Cosmetology/Cosmetologist, General",
Eastern Arizona College,Hair Styling/Stylist and Hair Design,
Eastern Arizona College,Manicurist/Technician and Manicurist,
Eastern Arizona College,Early Childhood Education and Teaching,
Eastern Arizona College,Elementary Education and Teaching,
Eastern Arizona College,Secondary Education and Teaching,
Eastern Arizona College,Civil Engineering Technologies/Technicians,
Eastern Arizona College,"Drafting and Design Technology/Technician, General",
Eastern Arizona College,Mining Technology/Technician,
Eastern Arizona College,Robotics Technology/Technician,
Eastern Arizona College,Solar Energy Technology/Technician,
Eastern Arizona College,"Writing, General",
Eastern Arizona College,"Foreign Languages and Literatures, General",
Eastern Arizona College,"Foreign Languages and Literatures, General",
Eastern Arizona College,Athletic Training/Trainer,
Eastern Arizona College,Dental Assisting/Assistant,
Eastern Arizona College,Emergency Medical Technology/Technician (EMT Paramedic),
Eastern Arizona College,Health Aide,
Eastern Arizona College,"Health Services/Allied Health/Health Sciences, General",
Eastern Arizona College,Licensed Practical/Vocational Nurse Training,
Eastern Arizona College,Medical Insurance Coding Specialist/Coder,
Eastern Arizona College,Medical Radiologic Technology/Science - Radiation Therapist,
Eastern Arizona College,Medical/Clinical Assistant,
Eastern Arizona College,Nursing Assistant/Aide and Patient Care Assistant/Aide,
Eastern Arizona College,Phlebotomy Technician/Phlebotomist,
Eastern Arizona College,Physical Therapy Assistant,
Eastern Arizona College,Pre-Chiropractic Studies,
Eastern Arizona College,Pre-Medicine/Pre-Medical Studies,
Eastern Arizona College,Pre-Optometry Studies,
Eastern Arizona College,Pre-Pharmacy Studies,
Eastern Arizona College,Pre-Physical Therapy Studies,
Eastern Arizona College,Registered Nursing/Registered Nurse,
Eastern Arizona College,"History, General",
Eastern Arizona College,Criminal Justice/Law Enforcement Administration,
Eastern Arizona College,Criminal Justice/Police Science,
Eastern Arizona College,General Studies,
Eastern Arizona College,"Liberal Arts and Sciences, General Studies and Humanities",
Eastern Arizona College,Liberal Arts and Sciences/Liberal Studies,
Eastern Arizona College,"Mathematics, General",
Eastern Arizona College,Appliance Installation and Repair Technology/Technician,
Eastern Arizona College,Automobile/Automotive Mechanics Technology/Technician,
Eastern Arizona College,Diesel Mechanics Technology/Technician,
Eastern Arizona College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician",
Eastern Arizona College,Industrial Electronics Technology/Technician,
Eastern Arizona College,Industrial Mechanics and Maintenance Technology/Technician,
Eastern Arizona College,"Vehicle Maintenance and Repair Technology/Technician, General",
Eastern Arizona College,"Multi-/Interdisciplinary Studies, Other",
Eastern Arizona College,"Forestry, General",
Eastern Arizona College,"Sports, Kinesiology, and Physical Education/Fitness, General",
Eastern Arizona College,"Chemistry, General",
Eastern Arizona College,"Geology/Earth Science, General",
Eastern Arizona College,"Physics, General",
Eastern Arizona College,Machine Shop Technology/Assistant,
Eastern Arizona College,Metal Fabricator,
Eastern Arizona College,Welding Technology/Welder,
Eastern Arizona College,"Psychology, General",
Eastern Arizona College,"Political Science and Government, General",
Eastern Arizona College,"Sociology, General",
Eastern Arizona College,Truck and Bus Driver/Commercial Vehicle Operator and Instructor,
Eastern Arizona College,Commercial and Advertising Art,
Eastern Arizona College,"Drama and Dramatics/Theatre Arts, General",
Eastern Arizona College,Film/Cinema/Media Studies,
Eastern Arizona College,Graphic Design,
Eastern Arizona College,"Music, General",
Embry-Riddle Aeronautical University-Prescott,Biological and Biomedical Sciences,
Embry-Riddle Aeronautical University-Prescott,"Biology/Biological Sciences, General",
Embry-Riddle Aeronautical University-Prescott,"Business Administration, Management and Operations, Other",
Embry-Riddle Aeronautical University-Prescott,International Business/Trade/Commerce,
Embry-Riddle Aeronautical University-Prescott,"Aerospace, Aeronautical, and Astronautical/Space Engineering, General",
Embry-Riddle Aeronautical University-Prescott,"Computer Engineering, General",
Embry-Riddle Aeronautical University-Prescott,Computer Software Engineering,
Embry-Riddle Aeronautical University-Prescott,Electrical and Electronics Engineering,
Embry-Riddle Aeronautical University-Prescott,Mechanical Engineering,
Embry-Riddle Aeronautical University-Prescott,Cyber/Computer Forensics and Counterterrorism,
Embry-Riddle Aeronautical University-Prescott,Financial Forensics and Fraud Investigation,
Embry-Riddle Aeronautical University-Prescott,Forensic Science and Technology,
Embry-Riddle Aeronautical University-Prescott,"Data Science, General",
Embry-Riddle Aeronautical University-Prescott,Astronomy,
Embry-Riddle Aeronautical University-Prescott,"Atmospheric Sciences and Meteorology, General",
Embry-Riddle Aeronautical University-Prescott,"Physics, Other",
Embry-Riddle Aeronautical University-Prescott,Applied Psychology,
Embry-Riddle Aeronautical University-Prescott,Forensic Psychology,
Embry-Riddle Aeronautical University-Prescott,Industrial and Organizational Psychology,
Embry-Riddle Aeronautical University-Prescott,International Relations and Affairs,
Embry-Riddle Aeronautical University-Prescott,"Aeronautics/Aviation/Aerospace Science and Technology, General",
Embry-Riddle Aeronautical University-Prescott,Air Traffic Controller,
Embry-Riddle Aeronautical University-Prescott,Aviation/Airway Management and Operations,
Embry-Riddle Aeronautical University-Prescott,Remote Aircraft Pilot,
Embry-Riddle Aeronautical University-Prescott,Game and Interactive Media Design,
The School of Architecture,Architectural and Building Sciences/Technology,
Glendale Community College,Architecture and Related Services,
Glendale Community College,Women's Studies,
Glendale Community College,Biological and Biomedical Sciences,
Glendale Community College,"Physiology, General",
Glendale Community College,"Business, Management, Marketing, and Related Support Services",
Glendale Community College,Accounting Technology/Technician and Bookkeeping,
Glendale Community College,"Administrative Assistant and Secretarial Science, General",
Glendale Community College,Banking and Financial Support Services,
Glendale Community College,"Business Administration and Management, General",
Glendale Community College,"Business/Commerce, General",
Glendale Community College,"Hospitality Administration/Management, General",
Glendale Community College,Insurance,
Glendale Community College,International Business/Trade/Commerce,
Glendale Community College,Real Estate,
Glendale Community College,"Sales, Distribution, and Marketing Operations, General",
Glendale Community College,Small Business Administration/Management,
Glendale Community College,Taxation,
Glendale Community College,Journalism,
Glendale Community College,Mass Communication/Media Studies,
Glendale Community College,Radio and Television,
Glendale Community College,Speech Communication and Rhetoric,
Glendale Community College,"Animation, Interactive Technology, Video Graphics, and Special Effects",
Glendale Community College,Photographic and Film/Video Technology/Technician,
Glendale Community College,Prepress/Desktop Publishing and Digital Imaging Design,
Glendale Community College,Recording Arts Technology/Technician,
Glendale Community College,"Computer and Information Sciences, General",
Glendale Community College,Computer and Information Systems Security/Auditing/Information Assurance,
Glendale Community College,"Computer Programming/Programmer, General",
Glendale Community College,Computer Science,
Glendale Community College,Computer Support Specialist,
Glendale Community College,Computer Systems Networking and Telecommunications,
Glendale Community College,Information Technology,
Glendale Community College,Web/Multimedia Management and Webmaster,
Glendale Community College,"Culinary Arts, General",
Glendale Community College,"Restaurant, Culinary, and Catering Management/Manager",
Glendale Community College,Pre-Engineering,
Glendale Community College,Biomedical Technology/Technician,
Glendale Community College,Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD,
Glendale Community College,"Engineering Technologies/Technicians, General",
Glendale Community College,Manufacturing Engineering Technology/Technician,
Glendale Community College,Mechanical Drafting and Mechanical Drafting CAD/CADD,
Glendale Community College,English Language and Literature/Letters,
Glendale Community College,"English Language and Literature, General",
Glendale Community College,Child Care and Support Services Management,
Glendale Community College,Child Care Provider/Assistant,
Glendale Community College,"Foods, Nutrition, and Wellness Studies, General",
Glendale Community College,Foodservice Systems Administration/Management,
Glendale Community College,"Foreign Languages and Literatures, General",
Glendale Community College,"Foreign Languages, Literatures, and Linguistics, Other",
Glendale Community College,French Language and Literature,
Glendale Community College,Italian Language and Literature,
Glendale Community College,Japanese Language and Literature,
Glendale Community College,Spanish Language and Literature,
Glendale Community College,"Health/Medical Preparatory Programs, Other",
Glendale Community College,Hospital and Health Care Facilities Administration/Management,
Glendale Community College,Medical Administrative/Executive Assistant and Medical Secretary,
Glendale Community College,Medical Insurance Coding Specialist/Coder,
Glendale Community College,Medical/Clinical Assistant,
Glendale Community College,Registered Nursing/Registered Nurse,
Glendale Community College,Substance Abuse/Addiction Counseling,
Glendale Community College,"History, General",
Glendale Community College,Criminal Justice/Law Enforcement Administration,
Glendale Community College,Fire Prevention and Safety Technology/Technician,
Glendale Community College,Legal Administrative Assistant/Secretary,
Glendale Community College,"Liberal Arts and Sciences, General Studies and Humanities",
Glendale Community College,Liberal Arts and Sciences/Liberal Studies,
Glendale Community College,"Mathematics, General",
Glendale Community College,Electrical/Electronics Equipment Installation and Repair Technology/Technician,
Glendale Community College,Exercise Science and Kinesiology,
Glendale Community College,Physical Fitness Technician,
Glendale Community College,Transportation and Materials Moving,
Glendale Community College,"Art/Art Studies, General",
Glendale Community College,Ceramic Arts and Ceramics,
Glendale Community College,Commercial and Advertising Art,
Glendale Community College,"Dance, General",
Glendale Community College,"Dance, Other",
Glendale Community College,"Drama and Dramatics/Theatre Arts, General",
Glendale Community College,Graphic Design,
Glendale Community College,"Music, General",
Glendale Community College,Photography,
Glendale Community College,Technical Theatre/Theatre Design and Technology,
Glendale Community College,"Visual and Performing Arts, General",
Grand Canyon University,Biological and Biomedical Sciences,
Grand Canyon University,Biochemistry and Molecular Biology,
Grand Canyon University,"Biology/Biological Sciences, General",
Grand Canyon University,Cell/Cellular and Molecular Biology,
Grand Canyon University,"Business, Management, Marketing, and Related Support Services",
Grand Canyon University,Accounting,
Grand Canyon University,"Business Administration and Management, General",
Grand Canyon University,"Business/Commerce, General",
Grand Canyon University,Entrepreneurship/Entrepreneurial Studies,
Grand Canyon University,"Finance, General",
Grand Canyon University,Financial Risk Management,
Grand Canyon University,"Hospitality Administration/Management, General",
Grand Canyon University,"Human Resources Management/Personnel Administration, General",
Grand Canyon University,"Logistics, Materials, and Supply Chain Management",
Grand Canyon University,Management Science,
Grand Canyon University,"Marketing/Marketing Management, General",
Grand Canyon University,Project Management,
Grand Canyon University,"Communication, Journalism, and Related Programs",
Grand Canyon University,Advertising,
Grand Canyon University,"Communication, General",
Grand Canyon University,Speech Communication and Rhetoric,
Grand Canyon University,Computer and Information Sciences and Support Services,
Grand Canyon University,"Computer and Information Sciences, General",
Grand Canyon University,Computer and Information Systems Security/Auditing/Information Assurance,
Grand Canyon University,"Computer Programming/Programmer, General",
Grand Canyon University,Computer Science,
Grand Canyon University,"Computer/Information Technology Services Administration and Management, Other",
Grand Canyon University,Information Technology,
Grand Canyon University,Education,
Grand Canyon University,Adult and Continuing Education and Teaching,
Grand Canyon University,Biology Teacher Education,
Grand Canyon University,Chemistry Teacher Education,
Grand Canyon University,Counselor Education/School Counseling and Guidance Services,
Grand Canyon University,Curriculum and Instruction,
Grand Canyon University,Drama and Dance Teacher Education,
Grand Canyon University,Early Childhood Education and Teaching,
Grand Canyon University,"Education, General",
Grand Canyon University,Education/Teaching of Individuals in Early Childhood Special Education Programs,
Grand Canyon University,Education/Teaching of Individuals in Elementary Special Education Programs,
Grand Canyon University,Education/Teaching of Individuals with Autism,
Grand Canyon University,"Educational Leadership and Administration, General",
Grand Canyon University,"Educational, Instructional, and Curriculum Supervision",
Grand Canyon University,Educational/Instructional Technology,
Grand Canyon University,Elementary Education and Teaching,
Grand Canyon University,English/Language Arts Teacher Education,
Grand Canyon University,Higher Education/Higher Education Administration,
Grand Canyon University,History Teacher Education,
Grand Canyon University,Mathematics Teacher Education,
Grand Canyon University,Music Teacher Education,
Grand Canyon University,Physical Education Teaching and Coaching,
Grand Canyon University,Reading Teacher Education,
Grand Canyon University,Secondary Education and Teaching,
Grand Canyon University,Social Science Teacher Education,
Grand Canyon University,"Special Education and Teaching, General",
Grand Canyon University,"Teacher Education, Multiple Levels",
Grand Canyon University,Teaching English as a Second or Foreign Language/ESL Language Instructor,
Grand Canyon University,Engineering,
Grand Canyon University,Bioengineering and Biomedical Engineering,
Grand Canyon University,"Computer Engineering, General",
Grand Canyon University,Computer Software Engineering,
Grand Canyon University,Electrical and Electronics Engineering,
Grand Canyon University,"Engineering, General",
Grand Canyon University,Environmental/Environmental Health Engineering,
Grand Canyon University,Industrial Engineering,
Grand Canyon University,Mechanical Engineering,
Grand Canyon University,"Engineering Technologies/Technicians, Other",
Grand Canyon University,Mechanical/Mechanical Engineering Technology/Technician,
Grand Canyon University,English Language and Literature/Letters,
Grand Canyon University,General Literature,
Grand Canyon University,"Professional, Technical, Business, and Scientific Writing",
Grand Canyon University,Family and Consumer Sciences/Human Sciences,
Grand Canyon University,Human Nutrition,
Grand Canyon University,"Foreign Languages, Literatures, and Linguistics",
Grand Canyon University,Spanish Language and Literature,
Grand Canyon University,Health Professions and Related Programs,
Grand Canyon University,Athletic Training/Trainer,
Grand Canyon University,"Clinical/Medical Laboratory Science and Allied Professions, Other",
Grand Canyon University,Critical Care Nursing,
Grand Canyon University,Dietetics/Dietitian,
Grand Canyon University,Family Practice Nurse/Nursing,
Grand Canyon University,"Health and Wellness, General",
Grand Canyon University,Health Information/Medical Records Administration/Administrator,
Grand Canyon University,Hospital and Health Care Facilities Administration/Management,
Grand Canyon University,Marriage and Family Therapy/Counseling,
Grand Canyon University,"Mental and Social Health Services and Allied Professions, Other",
Grand Canyon University,Mental Health Counseling/Counselor,
Grand Canyon University,Nursing Administration,
Grand Canyon University,Nursing Practice,
Grand Canyon University,Psychiatric/Mental Health Services Technician,
Grand Canyon University,"Public Health, General",
Grand Canyon University,Public Health/Community Nurse/Nursing,
Grand Canyon University,Registered Nursing/Registered Nurse,
Grand Canyon University,Substance Abuse/Addiction Counseling,
Grand Canyon University,History,
Grand Canyon University,"History, General",
Grand Canyon University,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",
Grand Canyon University,Criminal Justice/Law Enforcement Administration,
Grand Canyon University,Criminal Justice/Police Science,
Grand Canyon University,Criminal Justice/Safety Studies,
Grand Canyon University,Crisis/Emergency/Disaster Management,
Grand Canyon University,Cyber/Computer Forensics and Counterterrorism,
Grand Canyon University,Forensic Science and Technology,
Grand Canyon University,Homeland Security,
Grand Canyon University,Mathematics and Statistics,
Grand Canyon University,"Statistics, General",
Grand Canyon University,Natural Resources and Conservation,
Grand Canyon University,Environmental Science,
Grand Canyon University,"Parks, Recreation, Leisure, Fitness, and Kinesiology",
Grand Canyon University,Exercise Science and Kinesiology,
Grand Canyon University,Sport and Fitness Administration/Management,
Grand Canyon University,Physical Sciences,
Grand Canyon University,"Chemistry, General",
Grand Canyon University,Psychology,
Grand Canyon University,"Psychology, General",
Grand Canyon University,"Psychology, Other",
Grand Canyon University,Public Administration and Social Service Professions,
Grand Canyon University,Community Organization and Advocacy,
Grand Canyon University,"Human Services, General",
Grand Canyon University,Public Administration,
Grand Canyon University,Social Work,
Grand Canyon University,Social Sciences,
Grand Canyon University,"Economics, General",
Grand Canyon University,"Political Science and Government, Other",
Grand Canyon University,Theology and Religious Vocations,
Grand Canyon University,Bible/Biblical Studies,
Grand Canyon University,Divinity/Ministry,
Grand Canyon University,Pre-Theology/Pre-Ministerial Studies,
Grand Canyon University,Religious Education,
Grand Canyon University,Visual and Performing Arts,
Grand Canyon University,"Arts, Entertainment, and Media Management, General",
Grand Canyon University,Cinematography and Film/Video Production,
Grand Canyon University,"Dance, General",
Grand Canyon University,Digital Arts,
Grand Canyon University,"Drama and Dramatics/Theatre Arts, General",
Grand Canyon University,Graphic Design,
Grand Canyon University,"Music, General",
GateWay Community College,Accounting,
GateWay Community College,Accounting Technology/Technician and Bookkeeping,
GateWay Community College,"Administrative Assistant and Secretarial Science, General",
GateWay Community College,"Business Administration and Management, General",
GateWay Community College,Executive Assistant/Executive Secretary,
GateWay Community College,"Computer/Information Technology Services Administration and Management, Other",
GateWay Community College,Information Science/Studies,
GateWay Community College,Network and System Administration/Administrator,
GateWay Community College,"System, Networking, and LAN/WAN Management/Manager",
GateWay Community College,"Web Page, Digital/Multimedia and Information Resources Design",
GateWay Community College,Education/Teaching of Individuals in Early Childhood Special Education Programs,
GateWay Community College,Junior High/Intermediate/Middle School Education and Teaching,
GateWay Community College,Kindergarten/Preschool Education and Teaching,
GateWay Community College,Environmental/Environmental Health Engineering,
GateWay Community College,"Electrical, Electronic, and Communications Engineering Technology/Technician",
GateWay Community College,Electromechanical/Electromechanical Engineering Technology/Technician,
GateWay Community College,Mechanical Drafting and Mechanical Drafting CAD/CADD,
GateWay Community College,Mechanical/Mechanical Engineering Technology/Technician,
GateWay Community College,Child Development,
GateWay Community College,Health Information/Medical Records Technology/Technician,
GateWay Community College,Health/Health Care Administration/Management,
GateWay Community College,Licensed Practical/Vocational Nurse Training,
GateWay Community College,Medical Insurance Coding Specialist/Coder,
GateWay Community College,Medical Radiologic Technology/Science - Radiation Therapist,
GateWay Community College,Medical/Clinical Assistant,
GateWay Community College,Respiratory Care Therapy/Therapist,
GateWay Community College,Sterile Processing Technology/Technician,
GateWay Community College,Criminal Justice/Law Enforcement Administration,
GateWay Community College,Criminal Justice/Police Science,
GateWay Community College,Fire Science/Fire-fighting,
GateWay Community College,Legal Assistant/Paralegal,
GateWay Community College,General Studies,
GateWay Community College,Humanities/Humanistic Studies,
GateWay Community College,Liberal Arts and Sciences/Liberal Studies,
GateWay Community College,Environmental Studies,
GateWay Community College,Computer Numerically Controlled (CNC) Machinist Technology/CNC Machinist,
GateWay Community College,Welding Technology/Welder,
GateWay Community College,Social Work,
Mesa Community College,,PARSE ERROR: No JSON list found in GPT output
Mohave Community College,Biological and Biomedical Sciences,
Mohave Community College,"Biology/Biological Sciences, General",
Mohave Community College,"Business, Management, Marketing, and Related Support Services",
Mohave Community College,Accounting,
Mohave Community College,Accounting Technology/Technician and Bookkeeping,
Mohave Community College,"Business Administration and Management, General",
Mohave Community College,"Business/Commerce, General",
Mohave Community College,Entrepreneurship/Entrepreneurial Studies,
Mohave Community College,Operations Management and Supervision,
Mohave Community College,Retail Management,
Mohave Community College,Computer and Information Sciences and Support Services,
Mohave Community College,"Computer and Information Sciences and Support Services, Other",
Mohave Community College,"Computer and Information Sciences, General",
Mohave Community College,Computer and Information Systems Security/Auditing/Information Assurance,
Mohave Community College,Computer Game Programming,
Mohave Community College,Computer Graphics,
Mohave Community College,Computer Science,
Mohave Community College,Computer Systems Analysis/Analyst,
Mohave Community College,Computer Systems Networking and Telecommunications,
Mohave Community College,Network and System Administration/Administrator,
Mohave Community College,"Web Page, Digital/Multimedia and Information Resources Design",
Mohave Community College,Construction Trades,
Mohave Community College,"Electrical and Power Transmission Installation/Installer, General",
Mohave Community College,Electrician,
Mohave Community College,"Culinary, Entertainment, and Personal Services",
Mohave Community College,Baking and Pastry Arts/Baker/Pastry Chef,
Mohave Community College,"Cooking and Related Culinary Arts, General",
Mohave Community College,Education,
Mohave Community College,Early Childhood Education and Teaching,
Mohave Community College,"Education, General",
Mohave Community College,Elementary Education and Teaching,
Mohave Community College,Secondary Education and Teaching,
Mohave Community College,Engineering,
Mohave Community College,"Engineering, General",
Mohave Community College,English Language and Literature/Letters,
Mohave Community College,"English Language and Literature, General",
Mohave Community College,Health Professions and Related Programs,
Mohave Community College,Dental Assisting/Assistant,
Mohave Community College,Dental Hygiene/Hygienist,
Mohave Community College,Emergency Medical Technology/Technician (EMT Paramedic),
Mohave Community College,Health Information/Medical Records Technology/Technician,
Mohave Community College,Medical Insurance Coding Specialist/Coder,
Mohave Community College,Medical Radiologic Technology/Science - Radiation Therapist,
Mohave Community College,Medical/Clinical Assistant,
Mohave Community College,Phlebotomy Technician/Phlebotomist,
Mohave Community College,Physical Therapy Assistant,
Mohave Community College,"Practical Nursing, Vocational Nursing and Nursing Assistants, Other",
Mohave Community College,Registered Nursing/Registered Nurse,
Mohave Community College,Substance Abuse/Addiction Counseling,
Mohave Community College,Surgical Technology/Technologist,
Mohave Community College,"History, General",
Mohave Community College,"History, Other",
Mohave Community College,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",
Mohave Community College,Corrections,
Mohave Community College,Criminal Justice/Police Science,
Mohave Community College,Criminal Justice/Safety Studies,
Mohave Community College,"Fire Protection, Other",
Mohave Community College,Fire Science/Fire-fighting,
Mohave Community College,Legal Professions and Studies,
Mohave Community College,Legal Assistant/Paralegal,
Mohave Community College,"Liberal Arts and Sciences, General Studies and Humanities",
Mohave Community College,General Studies,
Mohave Community College,Liberal Arts and Sciences/Liberal Studies,
Mohave Community College,Mathematics and Statistics,
Mohave Community College,"Mathematics, General",
Mohave Community College,Mechanic and Repair Technologies/Technicians,
Mohave Community College,Autobody/Collision and Repair Technology/Technician,
Mohave Community College,Automobile/Automotive Mechanics Technology/Technician,
Mohave Community College,Computer Installation and Repair Technology/Technician,
Mohave Community College,"Electrical/Electronics Maintenance and Repair Technologies/Technicians, Other",
Mohave Community College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician",
Mohave Community College,"Vehicle Maintenance and Repair Technology/Technician, General",
Mohave Community College,Multi/Interdisciplinary Studies,
Mohave Community College,Behavioral Sciences,
Mohave Community College,Natural Sciences,
Mohave Community College,"Chemistry, General",
Mohave Community College,"Geology/Earth Science, General",
Mohave Community College,Physical Sciences,
Mohave Community College,Welding Technology/Welder,
Mohave Community College,"Psychology, General",
Mohave Community College,"Social Sciences, General",
Mohave Community College,"Art/Art Studies, General",
Mohave Community College,"Design and Visual Communications, General",
Mohave Community College,"Fine Arts and Art Studies, Other",
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Mechanic and Repair Technologies/Technicians,
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Motorcycle Maintenance and Repair Technology/Technician,
